puma_code,puma_area_name
06 07318,San Diego County (South)--San Diego City (Southeast/Encanto & Skyline) PUMA
06 07319,"San Diego County (South Central)--Lemon Grove City, La Presa & Spring Valley PUMA"
06 07320,San Diego County (Southwest)--Sweetwater Region--Chula Vista City (East) PUMA
06 07321,San Diego County (Southwest)--Chula Vista (West) & National City Cities PUMA
06 07322,San Diego County (South)--San Diego City (South/Otay Mesa & South Bay) PUMA
06 07501,San Francisco County (North & West)--Richmond District PUMA
06 07502,San Francisco County (North & East)--North Beach & Chinatown PUMA
06 07503,San Francisco County (Central)--South of Market & Potrero PUMA
06 07504,San Francisco County (Central)--Inner Mission & Castro PUMA
06 07505,San Francisco County (Central)--Sunset District (North) PUMA
06 07506,San Francisco County (South Central)--Sunset District (South) PUMA
06 07507,San Francisco County (South Central)--Bayview & Hunters Point PUMA
06 07701,San Joaquin County (Central)--Stockton City (North) PUMA
06 07702,San Joaquin County (Central)--Stockton City (South) PUMA
06 07703,"San Joaquin County (South)--Tracy, Manteca & Lathrop Cities PUMA"
06 07704,"San Joaquin County (North)--Lodi, Ripon & Escalon Cities PUMA"
06 07901,San Luis Obispo County (West)--Coastal Region PUMA
06 07902,San Luis Obispo County (East)--Inland Region PUMA
06 08101,"San Mateo County (North Central)--Daly City, Pacifica Cities & Colma Town PUMA"
06 08102,"San Mateo County (North Central)--South San Francisco, San Bruno & Brisbane Cities PUMA"
06 08103,"San Mateo County (Central)--San Mateo (North), Burlingame & Millbrae Cities PUMA"
06 08104,San Mateo County (South & West)--San Mateo (South) & Half Moon Bay Cities PUMA
06 08105,"San Mateo County (East Central)--Redwood City, San Carlos & Belmont Cities PUMA"
06 08106,"San Mateo County (Southeast)--Menlo Park, East Palo Alto Cities & Atherton Town PUMA"
06 08301,Santa Barbara County (Northwest)--Santa Maria City & Orcutt PUMA
06 08302,"Santa Barbara County (North)--Lompoc, Guadalupe, Solvang & Buellton Cities PUMA"
06 08303,Santa Barbara County--South Coast Region PUMA
06 08501,"Santa Clara County (Northwest)--Mountain View, Palo Alto & Los Altos Cities PUMA"
06 08502,Santa Clara County (Northwest)--Sunnyvale & San Jose (North) Cities PUMA
